Year,Violent Victimization,Serious violent victimization,Rape/Sexual Assault,Robbery,Aggravated Assault,Simple Assault,Personal Theft/Larceny
1993,79.8,29.1,4.3,8.3,16.5,50.7,2.3
1994,80,27,3.2,7.9,16,53,2.4
1995,70.7,22.4,2.6,6.3,13.5,48.3,1.9
1996,64.7,21.8,2,6.6,13.2,42.9,1.5
1997,61.1,21.1,2.5,5.4,13.2,40,1.7
1998,54.1,16.6,1.8,4.4,10.4,37.5,1.3
1999,47.2,15.9,2.6,4.5,8.7,31.3,1.1
2000,37.5,12.4,1.6,3.9,6.9,25.1,1.2
2001,32.6,11,2.1,2.9,6,21.6,0.8
2002,32.1,10,1.5,2.7,5.8,22.1,0.7
2003,32.1,10,1.4,3,5.7,22.1,0.9
2004,27.8,9.5,1.1,2.6,5.9,18.3,0.9
2005,28.4,9.2,0.8,3.1,5.2,19.2,0.9
2006,34.1,12.7,1.9,3.8,7.1,21.4,0.7
2007,27.2,9,1,3.1,4.9,18.3,0.9
2008,25.3,7.9,1.4,2.7,3.8,17.4,0.7
2009,22.3,7.8,1.2,2.5,4.1,14.6,0.5
2010,19.3,6.6,1,2.2,3.4,12.7,0.5
2011,22.6,7.2,0.9,2.2,4.1,15.4,0.6
2012,26.1,8,1.3,2.8,3.8,18.2,0.6
2013,23.2,7.3,1.1,2.4,3.8,15.8,0.5
2014,20.1,7.7,1.1,2.5,4.1,12.4,0.4
2015,18.6,6.8,1.6,2.1,3,11.8,0.3
